键,值,上级,省/直辖市/自治区
150727,新巴尔虎右旗,呼伦贝尔市,内蒙古自治区
150781,满洲里市,呼伦贝尔市,内蒙古自治区
150782,牙克石市,呼伦贝尔市,内蒙古自治区
150783,扎兰屯市,呼伦贝尔市,内蒙古自治区
150784,额尔古纳市,呼伦贝尔市,内蒙古自治区
150785,根河市,呼伦贝尔市,内蒙古自治区
150800,巴彦淖尔市,内蒙古自治区,内蒙古自治区
150802,临河区,巴彦淖尔市,内蒙古自治区
150821,五原县,巴彦淖尔市,内蒙古自治区
150822,磴口县,巴彦淖尔市,内蒙古自治区
150823,乌拉特前旗,巴彦淖尔市,内蒙古自治区
150824,乌拉特中旗,巴彦淖尔市,内蒙古自治区
150825,乌拉特后旗,巴彦淖尔市,内蒙古自治区
150826,杭锦后旗,巴彦淖尔市,内蒙古自治区
150900,乌兰察布市,内蒙古自治区,内蒙古自治区
150902,集宁区,乌兰察布市,内蒙古自治区
150921,卓资县,乌兰察布市,内蒙古自治区
150922,化德县,乌兰察布市,内蒙古自治区
150923,商都县,乌兰察布市,内蒙古自治区
150924,兴和县,乌兰察布市,内蒙古自治区
150925,凉城县,乌兰察布市,内蒙古自治区
150926,察哈尔右翼前旗,乌兰察布市,内蒙古自治区
150927,察哈尔右翼中旗,乌兰察布市,内蒙古自治区
150928,察哈尔右翼后旗,乌兰察布市,内蒙古自治区
150929,四子王旗,乌兰察布市,内蒙古自治区
150981,丰镇市,乌兰察布市,内蒙古自治区
152200,兴安盟,内蒙古自治区,内蒙古自治区
152201,乌兰浩特市,兴安盟,内蒙古自治区
152202,阿尔山市,兴安盟,内蒙古自治区
152221,科尔沁右翼前旗,兴安盟,内蒙古自治区
152222,科尔沁右翼中旗,兴安盟,内蒙古自治区
152223,扎赉特旗,兴安盟,内蒙古自治区
152224,突泉县,兴安盟,内蒙古自治区
152500,锡林郭勒盟,内蒙古自治区,内蒙古自治区
152501,二连浩特市,锡林郭勒盟,内蒙古自治区
152502,锡林浩特市,锡林郭勒盟,内蒙古自治区
152522,阿巴嘎旗,锡林郭勒盟,内蒙古自治区
152523,苏尼特左旗,锡林郭勒盟,内蒙古自治区
152524,苏尼特右旗,锡林郭勒盟,内蒙古自治区
152525,东乌珠穆沁旗,锡林郭勒盟,内蒙古自治区
152526,西乌珠穆沁旗,锡林郭勒盟,内蒙古自治区
152527,太仆寺旗,锡林郭勒盟,内蒙古自治区
152528,镶黄旗,锡林郭勒盟,内蒙古自治区
152529,正镶白旗,锡林郭勒盟,内蒙古自治区
152530,正蓝旗,锡林郭勒盟,内蒙古自治区
152531,多伦县,锡林郭勒盟,内蒙古自治区
152900,阿拉善盟,内蒙古自治区,内蒙古自治区
152921,阿拉善左旗,阿拉善盟,内蒙古自治区
152922,阿拉善右旗,阿拉善盟,内蒙古自治区
152923,额济纳旗,阿拉善盟,内蒙古自治区
210000,辽宁省,中华人民共和国,辽宁省
210100,沈阳市,辽宁省,辽宁省
210102,和平区,沈阳市,辽宁省
210103,沈河区,沈阳市,辽宁省
210104,大东区,沈阳市,辽宁省
210105,皇姑区,沈阳市,辽宁省
210106,铁西区,沈阳市,辽宁省
210111,苏家屯区,沈阳市,辽宁省
210112,浑南区,沈阳市,辽宁省
210113,沈北新区,沈阳市,辽宁省
210114,于洪区,沈阳市,辽宁省
210115,辽中区,沈阳市,辽宁省
210123,康平县,沈阳市,辽宁省
210124,法库县,沈阳市,辽宁省
210181,新民市,沈阳市,辽宁省
210200,大连市,辽宁省,辽宁省
210202,中山区,大连市,辽宁省
210203,西岗区,大连市,辽宁省
210204,沙河口区,大连市,辽宁省
210211,甘井子区,大连市,辽宁省
210212,旅顺口区,大连市,辽宁省
210213,金州区,大连市,辽宁省
210214,普兰店区,大连市,辽宁省
210224,长海县,大连市,辽宁省
210281,瓦房店市,大连市,辽宁省
210283,庄河市,大连市,辽宁省
210300,鞍山市,辽宁省,辽宁省
210302,铁东区,鞍山市,辽宁省
210303,铁西区,鞍山市,辽宁省
210304,立山区,鞍山市,辽宁省
210311,千山区,鞍山市,辽宁省
210321,台安县,鞍山市,辽宁省
210323,岫岩满族自治县,鞍山市,辽宁省
210381,海城市,鞍山市,辽宁省
210400,抚顺市,辽宁省,辽宁省
210402,新抚区,抚顺市,辽宁省
210403,东洲区,抚顺市,辽宁省
210404,望花区,抚顺市,辽宁省
210411,顺城区,抚顺市,辽宁省
210421,抚顺县,抚顺市,辽宁省
210422,新宾满族自治县,抚顺市,辽宁省
210423,清原满族自治县,抚顺市,辽宁省
210500,本溪市,辽宁省,辽宁省
210502,平山区,本溪市,辽宁省
210503,溪湖区,本溪市,辽宁省
210504,明山区,本溪市,辽宁省
210505,南芬区,本溪市,辽宁省
210521,本溪满族自治县,本溪市,辽宁省
210522,桓仁满族自治县,本溪市,辽宁省
210600,丹东市,辽宁省,辽宁省
210602,元宝区,丹东市,辽宁省
210603,振兴区,丹东市,辽宁省
210604,振安区,丹东市,辽宁省
210624,宽甸满族自治县,丹东市,辽宁省
210681,东港市,丹东市,辽宁省
210682,凤城市,丹东市,辽宁省
210700,锦州市,辽宁省,辽宁省
210702,古塔区,锦州市,辽宁省
210703,凌河区,锦州市,辽宁省
210711,太和区,锦州市,辽宁省
210726,黑山县,锦州市,辽宁省
210727,义县,锦州市,辽宁省
210781,凌海市,锦州市,辽宁省
210782,北镇市,锦州市,辽宁省
210800,营口市,辽宁省,辽宁省
210802,站前区,营口市,辽宁省
210803,西市区,营口市,辽宁省
210804,鲅鱼圈区,营口市,辽宁省
210811,老边区,营口市,辽宁省
210881,盖州市,营口市,辽宁省
210882,大石桥市,营口市,辽宁省
210900,阜新市,辽宁省,辽宁省
210902,海州区,阜新市,辽宁省
210903,新邱区,阜新市,辽宁省
210904,太平区,阜新市,辽宁省
210905,清河门区,阜新市,辽宁省
210911,细河区,阜新市,辽宁省
210921,阜新蒙古族自治县,阜新市,辽宁省
210922,彰武县,阜新市,辽宁省
211000,辽阳市,辽宁省,辽宁省
211002,白塔区,辽阳市,辽宁省
211003,文圣区,辽阳市,辽宁省
211004,宏伟区,辽阳市,辽宁省
211005,弓长岭区,辽阳市,辽宁省
211011,太子河区,辽阳市,辽宁省
211021,辽阳县,辽阳市,辽宁省
211081,灯塔市,辽阳市,辽宁省
211100,盘锦市,辽宁省,辽宁省
211102,双台子区,盘锦市,辽宁省
211103,兴隆台区,盘锦市,辽宁省
211104,大洼区,盘锦市,辽宁省
211122,盘山县,盘锦市,辽宁省
211200,铁岭市,辽宁省,辽宁省
211202,银州区,铁岭市,辽宁省
211204,清河区,铁岭市,辽宁省
211221,铁岭县,铁岭市,辽宁省
211223,西丰县,铁岭市,辽宁省
211224,昌图县,铁岭市,辽宁省
211281,调兵山市,铁岭市,辽宁省
211282,开原市,铁岭市,辽宁省
211300,朝阳市,辽宁省,辽宁省
211302,双塔区,朝阳市,辽宁省
211303,龙城区,朝阳市,辽宁省
211321,朝阳县,朝阳市,辽宁省
211322,建平县,朝阳市,辽宁省
211324,喀喇沁左翼蒙古族自治县,朝阳市,辽宁省
211381,北票市,朝阳市,辽宁省
211382,凌源市,朝阳市,辽宁省
211400,葫芦岛市,辽宁省,辽宁省
211402,连山区,葫芦岛市,辽宁省
211403,龙港区,葫芦岛市,辽宁省
211404,南票区,葫芦岛市,辽宁省
211421,绥中县,葫芦岛市,辽宁省
211422,建昌县,葫芦岛市,辽宁省
211481,兴城市,葫芦岛市,辽宁省
220000,吉林省,中华人民共和国,吉林省
220100,长春市,吉林省,吉林省
220102,南关区,长春市,吉林省
220103,宽城区,长春市,吉林省
220104,朝阳区,长春市,吉林省
220105,二道区,长春市,吉林省
220106,绿园区,长春市,吉林省
220112,双阳区,长春市,吉林省
220113,九台区,长春市,吉林省
220122,农安县,长春市,吉林省
220182,榆树市,长春市,吉林省
220183,德惠市,长春市,吉林省
220200,吉林市,吉林省,吉林省
220202,昌邑区,吉林市,吉林省
220203,龙潭区,吉林市,吉林省
220204,船营区,吉林市,吉林省
220211,丰满区,吉林市,吉林省
220221,永吉县,吉林市,吉林省
220281,蛟河市,吉林市,吉林省
220282,桦甸市,吉林市,吉林省
220283,舒兰市,吉林市,吉林省
220284,磐石市,吉林市,吉林省
220300,四平市,吉林省,吉林省
220302,铁西区,四平市,吉林省
220303,铁东区,四平市,吉林省
220322,梨树县,四平市,吉林省
220323,伊通满族自治县,四平市,吉林省
220381,公主岭市,四平市,吉林省
220382,双辽市,四平市,吉林省
220400,辽源市,吉林省,吉林省
220402,龙山区,辽源市,吉林省
220403,西安区,辽源市,吉林省
220421,东丰县,辽源市,吉林省
220422,东辽县,辽源市,吉林省
220500,通化市,吉林省,吉林省
220502,东昌区,通化市,吉林省
220503,二道江区,通化市,吉林省
220521,通化县,通化市,吉林省
220523,辉南县,通化市,吉林省
220524,柳河县,通化市,吉林省
220581,梅河口市,通化市,吉林省
220582,集安市,通化市,吉林省
220600,白山市,吉林省,吉林省
220602,浑江区,白山市,吉林省
220605,江源区,白山市,吉林省
220621,抚松县,白山市,吉林省
220622,靖宇县,白山市,吉林省
220623,长白朝鲜族自治县,白山市,吉林省
220681,临江市,白山市,吉林省
220700,松原市,吉林省,吉林省
220702,宁江区,松原市,吉林省
220721,前郭尔罗斯蒙古族自治县,松原市,吉林省
220722,长岭县,松原市,吉林省
220723,乾安县,松原市,吉林省
220781,扶余市,松原市,吉林省
220800,白城市,吉林省,吉林省
220802,洮北区,白城市,吉林省
220821,镇赉县,白城市,吉林省
220822,通榆县,白城市,吉林省
220881,洮南市,白城市,吉林省
220882,大安市,白城市,吉林省
222400,延边朝鲜族自治州,吉林省,吉林省
222401,延吉市,延边朝鲜族自治州,吉林省
222402,图们市,延边朝鲜族自治州,吉林省
222403,敦化市,延边朝鲜族自治州,吉林省
222404,珲春市,延边朝鲜族自治州,吉林省
222405,龙井市,延边朝鲜族自治州,吉林省
222406,和龙市,延边朝鲜族自治州,吉林省
222424,汪清县,延边朝鲜族自治州,吉林省
222426,安图县,延边朝鲜族自治州,吉林省
230000,黑龙江省,中华人民共和国,黑龙江省
230100,哈尔滨市,黑龙江省,黑龙江省
230102,道里区,哈尔滨市,黑龙江省
230103,南岗区,哈尔滨市,黑龙江省
230104,道外区,哈尔滨市,黑龙江省
230108,平房区,哈尔滨市,黑龙江省
230109,松北区,哈尔滨市,黑龙江省
230110,香坊区,哈尔滨市,黑龙江省
230111,呼兰区,哈尔滨市,黑龙江省
230112,阿城区,哈尔滨市,黑龙江省
230113,双城区,哈尔滨市,黑龙江省
230123,依兰县,哈尔滨市,黑龙江省
230124,方正县,哈尔滨市,黑龙江省
230125,宾县,哈尔滨市,黑龙江省
230126,巴彦县,哈尔滨市,黑龙江省
230127,木兰县,哈尔滨市,黑龙江省
230128,通河县,哈尔滨市,黑龙江省
230129,延寿县,哈尔滨市,黑龙江省
230183,尚志市,哈尔滨市,黑龙江省
230184,五常市,哈尔滨市,黑龙江省
230200,齐齐哈尔市,黑龙江省,黑龙江省
230202,龙沙区,齐齐哈尔市,黑龙江省
230203,建华区,齐齐哈尔市,黑龙江省
230204,铁锋区,齐齐哈尔市,黑龙江省
230205,昂昂溪区,齐齐哈尔市,黑龙江省
230206,富拉尔基区,齐齐哈尔市,黑龙江省
230207,碾子山区,齐齐哈尔市,黑龙江省
230208,梅里斯达斡尔族区,齐齐哈尔市,黑龙江省
230221,龙江县,齐齐哈尔市,黑龙江省
230223,依安县,齐齐哈尔市,黑龙江省
230224,泰来县,齐齐哈尔市,黑龙江省
230225,甘南县,齐齐哈尔市,黑龙江省
230227,富裕县,齐齐哈尔市,黑龙江省
230229,克山县,齐齐哈尔市,黑龙江省
230230,克东县,齐齐哈尔市,黑龙江省
230231,拜泉县,齐齐哈尔市,黑龙江省
230281,讷河市,齐齐哈尔市,黑龙江省
230300,鸡西市,黑龙江省,黑龙江省
230302,鸡冠区,鸡西市,黑龙江省
230303,恒山区,鸡西市,黑龙江省
230304,滴道区,鸡西市,黑龙江省
230305,梨树区,鸡西市,黑龙江省
230306,城子河区,鸡西市,黑龙江省
230307,麻山区,鸡西市,黑龙江省
230321,鸡东县,鸡西市,黑龙江省
230381,虎林市,鸡西市,黑龙江省
230382,密山市,鸡西市,黑龙江省
230400,鹤岗市,黑龙江省,黑龙江省
230402,向阳区,鹤岗市,黑龙江省
230403,工农区,鹤岗市,黑龙江省
230404,南山区,鹤岗市,黑龙江省
230405,兴安区,鹤岗市,黑龙江省
230406,东山区,鹤岗市,黑龙江省
230407,兴山区,鹤岗市,黑龙江省
230421,萝北县,鹤岗市,黑龙江省
230422,绥滨县,鹤岗市,黑龙江省
230500,双鸭山市,黑龙江省,黑龙江省
230502,尖山区,双鸭山市,黑龙江省
230503,岭东区,双鸭山市,黑龙江省
230505,四方台区,双鸭山市,黑龙江省
